tempo,key,mode,loudness,time_signature,duration_ms,danceability,acousticness,speechiness,liveness,energy,instrumentalness,valence
114.006,5.0,0.0,-19.029,4.0,173632.0,0.763,0.811,0.0525,0.267,0.174,0.0,0.503
110.009,1.0,1.0,-6.898,4.0,214812.0,0.64,0.663,0.0303,0.166,0.486,0.335,0.246
144.856,11.0,1.0,-4.181,4.0,205560.0,0.515,0.369,0.139,0.143,0.632,1.23e-06,0.625
118.943,8.0,1.0,-6.475,3.0,164470.0,0.504,0.263,0.0643,0.212,0.535,7.17e-06,0.243
100.019,5.0,0.0,-7.193,4.0,105625.0,0.751,0.099,0.0434,0.165,0.655,0.000168,0.501
149.859,3.0,1.0,-7.167,4.0,182027.0,0.519,0.499,0.034,0.125,0.411,0.0,0.484
79.896,4.0,1.0,-9.783,4.0,180061.0,0.593,0.66,0.0423,0.247,0.467,0.0,0.456
83.945,5.0,0.0,-7.548,4.0,200000.0,0.678,0.339,0.0837,0.102,0.559,0.149,0.787
82.051,10.0,0.0,-5.211,4.0,235880.0,0.688,0.541,0.0755,0.302,0.519,1.81e-05,0.705
129.655,6.0,0.0,-7.608,3.0,212063.0,0.627,0.541,0.174,0.101,0.381,0.0,0.206
80.039,8.0,0.0,-6.622,4.0,147427.0,0.696,0.61,0.0473,0.177,0.809,0.00924,0.738
91.737,9.0,0.0,-4.654,4.0,217056.0,0.487,0.262,0.0639,0.131,0.471,0.00278,0.509
130.076,9.0,1.0,-9.717,4.0,81029.0,0.775,0.322,0.0442,0.301,0.296,0.000952,0.393
90.0,1.0,1.0,-6.689,4.0,235500.0,0.698,0.283,0.0507,0.189,0.435,0.0,0.638
125.723,5.0,1.0,-13.086,4.0,220346.0,0.399,0.893,0.0441,0.125,0.208,0.00696,0.0899
85.047,4.0,1.0,-14.606,4.0,182249.0,0.691,0.44,0.0432,0.149,0.255,5.19e-06,0.412
106.02,5.0,1.0,-8.974,4.0,190560.0,0.669,0.481,0.0789,0.312,0.679,0.0199,0.67
92.009,8.0,0.0,-7.893,4.0,200863.0,0.762,0.876,0.0463,0.0943,0.38,0.000119,0.669
75.592,7.0,1.0,-9.453,4.0,197428.0,0.345,0.736,0.0408,0.259,0.418,0.0,0.162
115.968,11.0,1.0,-8.469,4.0,230984.0,0.597,0.0443,0.0399,0.0983,0.606,0.00176,0.605
80.04,2.0,0.0,-5.824,4.0,201000.0,0.53,0.721,0.0295,0.104,0.405,0.0,0.178
153.982,1.0,1.0,-4.078,4.0,174120.0,0.642,0.173,0.0519,0.355,0.775,9.49e-05,0.868
134.92,1.0,0.0,-4.074,4.0,153736.0,0.528,0.26,0.263,0.0857,0.683,0.0,0.539
87.865,1.0,0.0,-15.498,4.0,201027.0,0.62,0.735,0.206,0.0976,0.396,0.000985,0.774
165.014,10.0,1.0,-4.243,4.0,271807.0,0.398,0.0854,0.11,0.121,0.794,3.68e-05,0.753
81.98,11.0,0.0,-6.368,4.0,203065.0,0.639,0.193,0.0399,0.139,0.573,0.000145,0.671
119.979,4.0,1.0,-9.763,3.0,225250.0,0.772,0.407,0.0346,0.109,0.286,4.43e-05,0.475
81.979,1.0,1.0,-4.677,4.0,192159.0,0.667,0.581,0.0422,0.117,0.542,2.27e-06,0.365
74.97,10.0,0.0,-7.823,4.0,238307.0,0.677,0.262,0.268,0.115,0.534,0.0,0.72
97.99,7.0,1.0,-9.404,4.0,186122.0,0.866,0.729,0.194,0.197,0.35,0.000629,0.498
89.875,5.0,0.0,-4.817,4.0,219107.0,0.609,0.0799,0.0853,0.108,0.804,0.0,0.736
95.98,0.0,1.0,-5.234,4.0,188561.0,0.349,0.422,0.0454,0.34,0.745,1.18e-05,0.146
91.028,1.0,1.0,-6.795,4.0,211333.0,0.8,0.337,0.2,0.155,0.644,0.0,0.96
90.76,8.0,0.0,-6.285,4.0,160443.0,0.679,0.337,0.344,0.106,0.668,0.0,0.726
106.832,7.0,0.0,-7.385,3.0,192967.0,0.65,0.374,0.103,0.114,0.593,0.0,0.441
96.002,10.0,1.0,-8.583,4.0,216600.0,0.558,0.322,0.0579,0.11,0.471,0.184,0.196
107.988,11.0,0.0,-7.787,4.0,201111.0,0.706,0.308,0.23,0.38,0.7,4.41e-06,0.503
80.127,7.0,1.0,-8.392,4.0,204762.0,0.518,0.485,0.0349,0.132,0.343,0.0,0.217
110.003,9.0,0.0,-10.873,4.0,303545.0,0.751,0.547,0.0265,0.113,0.57,0.0132,0.535
78.796,0.0,1.0,-8.055,4.0,182536.0,0.615,0.529,0.223,0.108,0.385,0.0,0.513
120.035,2.0,1.0,-7.196,3.0,224674.0,0.631,0.278,0.0316,0.354,0.435,0.0,0.461
118.021,2.0,1.0,-9.812,4.0,193500.0,0.723,0.532,0.0442,0.359,0.585,0.0,0.887
132.153,10.0,0.0,-4.048,4.0,219729.0,0.657,0.34,0.0465,0.0285,0.655,0.0,0.651
155.001,10.0,0.0,-4.943,4.0,149806.0,0.638,0.298,0.0475,0.118,0.611,0.0,0.315
128.058,8.0,1.0,-8.939,3.0,240903.0,0.485,0.207,0.0376,0.0859,0.385,0.0551,0.15
76.001,11.0,1.0,-9.167,4.0,233500.0,0.454,0.165,0.0278,0.276,0.646,0.534,0.535
