,tempo,key,mode,loudness,time_signature,duration_ms,danceability,acousticness,speechiness,liveness,energy,instrumentalness,valence
tempo,1.0,0.05234247218019559,0.011396403764265126,0.08128726826633277,-0.021177920188730107,0.07399790594722105,-0.18438529001494222,-0.11834181876362397,0.017981813584876116,0.06270873076244558,0.11918851564488071,-0.059362287898031156,-0.0015020966115292516
key,0.05234247218019558,0.9999999999999999,-0.05216918278216883,-0.010123730904894457,0.0018256219702152674,0.04212751260134653,-0.03868372232358498,0.04467040028202046,-0.023963662907343787,-0.012596995877290589,-0.031241461941575552,-0.018443609734183773,-0.023919775772699697
mode,0.011396403764265125,-0.05216918278216883,1.0,-0.04612146293569419,-0.04045362714960692,0.15564919339932376,-0.12084376394526641,0.1612512386168448,-0.15804136108135283,-0.08108160132241173,-0.11804183108884807,-0.0284414855871184,-0.07121623698601584
loudness,0.08128726826633276,-0.010123730904894455,-0.046121462935694184,0.9999999999999999,0.0732158407026583,0.07288598929322823,0.10384844704939163,-0.6149238566163431,0.03209470926723568,0.12624685493675636,0.8094120461268031,-0.23956167222945665,0.35622011574702683
time_signature,-0.021177920188730107,0.0018256219702152674,-0.04045362714960692,0.0732158407026583,0.9999999999999998,-0.0032043689682283764,0.10601302603760032,-0.053229152614984745,-0.03360368307169169,-0.025456735897202695,0.11520891739549259,0.0391667212097277,0.0995842685087224
duration_ms,0.07399790594722105,0.04212751260134653,0.15564919339932376,0.07288598929322823,-0.0032043689682283764,1.0,-0.411535980152182,0.051377552338861245,-0.2480114364975693,0.010262556618525974,-0.024438829932334087,-0.12076423925021444,-0.26291253584232666
danceability,-0.18438529001494222,-0.03868372232358498,-0.12084376394526641,0.10384844704939163,0.10601302603760032,-0.41153598015218196,0.9999999999999998,-0.22737377539045311,0.20349108427187165,-0.03355330798090599,0.17362759656240717,-0.009518614075197501,0.5077613045329169
acousticness,-0.11834181876362397,0.04467040028202046,0.1612512386168448,-0.6149238566163432,-0.053229152614984745,0.05137755233886125,-0.2273737753904531,1.0,-0.15178629263830307,-0.15864212477708847,-0.7657413593797497,0.12095805710949376,-0.4144711251851302
speechiness,0.017981813584876112,-0.023963662907343784,-0.1580413610813528,0.03209470926723568,-0.03360368307169168,-0.2480114364975693,0.20349108427187165,-0.15178629263830307,1.0,0.061983654642322444,0.14349215186904263,-0.028169455207515962,0.17435821153104822
liveness,0.06270873076244558,-0.012596995877290589,-0.08108160132241171,0.12624685493675636,-0.025456735897202695,0.010262556618525974,-0.03355330798090599,-0.15864212477708844,0.06198365464232245,1.0,0.2101623849052528,-0.034438042014301735,0.06394096420495612
energy,0.11918851564488071,-0.031241461941575552,-0.11804183108884807,0.809412046126803,0.11520891739549259,-0.024438829932334084,0.17362759656240717,-0.7657413593797497,0.14349215186904266,0.2101623849052528,1.0,-0.1304439059306498,0.4922524962629287
instrumentalness,-0.059362287898031156,-0.018443609734183773,-0.0284414855871184,-0.23956167222945665,0.0391667212097277,-0.12076423925021446,-0.0095186140751975,0.12095805710949376,-0.028169455207515962,-0.034438042014301735,-0.1304439059306498,1.0,-0.10644147784434209
valence,-0.0015020966115292516,-0.023919775772699697,-0.07121623698601584,0.35622011574702683,0.09958426850872239,-0.26291253584232666,0.5077613045329168,-0.4144711251851302,0.17435821153104822,0.06394096420495612,0.4922524962629287,-0.1064414778443421,1.0
